网点ID,网点名称,经度,维度,城市,是否收费,网点类型,停车费,车位数,是否启用,管理人员ID,租金
437,束河古镇北门停车场(地面）,100.2046845,26.92780287,丽江市,0,2,0,0,1,0,0
438,束河古镇玉龙第三国停车场（地面）,100.2023558,26.91853844,丽江市,0,2,0,0,1,0,0
439,束河古镇哈里谷停车场（地面）,100.2009374,26.91895118,丽江市,0,2,0,0,1,0,0
440,束河古镇品味丽江停车场（地面）,100.2021254,26.92123651,丽江市,0,2,0,0,1,0,0
441,束河古镇松云村一号停车场（地面),100.1999736,26.922088,丽江市,0,2,0,0,1,0,0
442,束河古镇松云村阿牛停车场（地面）,100.1991612,26.92097597,丽江市,0,2,0,0,1,0,0
444,丽江古城世纪华联停车场（地面),100.2322801,26.88235658,丽江市,0,2,0,0,1,0,0
445,丽江古城南门停车场（地面）,100.2403345,26.86941772,丽江市,0,2,0,0,1,0,0
449,丽江嗨旅行停车场（地面）,100.2522975,26.86388076,丽江市,0,2,0,0,1,0,0
451,丽江祥腾停车场（地面）,100.2523363,26.87208527,丽江市,0,2,0,0,1,0,0
452,丽江古城忠义市场停车场（地面）,100.2341446,26.87028692,丽江市,0,2,0,0,1,0,0
453,丽江古城白龙广场停车场（地面）,100.2306073,26.87055573,丽江市,0,2,0,0,1,0,0
454,丽江金凯广场停车场（地面）,100.2247313,26.86864355,丽江市,0,2,0,0,1,0,0
455,丽江高山流水KTV停车场（地面）,100.217376,26.87764758,丽江市,0,2,0,0,1,0,0
456,丽江友好医院停车场（地面）,100.2220285,26.87240338,丽江市,0,2,0,0,1,0,0
457,丽江福慧市场停车场（地面）,100.2211102,26.88275653,丽江市,0,2,0,0,1,0,0
458,丽江结伴行停车场（地面）,100.2223394,26.85071551,丽江市,0,2,0,0,1,0,0
459,丽江途歌停车场（地面）,100.2043555,26.86763758,丽江市,0,2,0,0,1,0,0
460,丽江农村信用象山路分社停车场（地面）,100.2091725,26.88892032,丽江市,0,2,0,0,1,0,0
461,丽江客运站停车场（地面）,100.2331072,26.86276269,丽江市,0,2,0,0,1,0,0
462,昆明市区金夏璐取还车网点,102.7257546,25.07778175,昆明市,0,2,0,0,1,0,0
